region,x_t,y_t,z_t_csv,fov_id,x_a,y_a,z_a,z_t_log,locked,disp,xcorr,residual_um,focus_error_um,false_rejection,dx_um,dy_um,dr_um,dz_um
A1,10.991952114095094,8.233059877194153,,0,10.99185,8.232775,2817.1875,2.80725,True,-6.7,0.957,-0.5668983632334164,-0.5668983632334164,False,-0.1021140950943078,-0.2848771941525996,0.30262568325439143,9.9375
A1,13.593450994095091,8.233059877194153,,1,13.5937625,8.232775,2816.0624999999995,2.80725,True,-5.5,0.987,0.0,0.0,False,0.3115059049090263,-0.2848771941525996,0.42212669252423407,8.812499999999545
A1,16.194949874095094,8.233059877194153,,2,16.19488125,8.232775,2812.3125,2.80725,True,-1.8,0.967,0.0,0.0,False,-0.06862409509267309,-0.2848771941525996,0.2930260776373771,5.0625
A1,18.796448754095096,8.233059877194153,,3,18.79679375,8.232775,2812.8749999999995,2.80725,True,-2.3,0.996,0.3779322421557541,0.3779322421557541,False,0.3449959049035556,-0.2848771941525996,0.4474116562501262,5.624999999999545
A1,10.991952114095094,10.834558757194152,,4,10.99185,10.8346875,2815.78125,2.80725,True,-5.3,0.989,0.18896612107787705,0.18896612107787705,False,-0.1021140950943078,0.12874280584718178,0.16432284830276792,8.53125
A1,13.593450994095091,10.834558757194152,,5,13.5937625,10.8346875,2813.15625,2.80725,True,-2.6,0.977,-0.18896612107766222,-0.18896612107766222,False,0.3115059049090263,0.12874280584718178,0.337061773048497,5.90625
A1,16.194949874095094,10.834558757194152,,6,16.19488125,10.8346875,2809.03125,2.80725,True,1.5,0.998,0.18896612107787705,0.18896612107787705,False,-0.06862409509267309,0.12874280584718178,0.1458902892062847,1.78125
A1,18.796448754095096,10.834558757194152,,7,18.79679375,10.8346875,2809.5937499999995,2.80725,True,0.9,0.996,-0.18896612107766222,-0.18896612107766222,False,0.3449959049035556,0.12874280584718178,0.36823482244028516,2.3437499999995453
A1,10.991952114095094,13.436057637194152,,8,10.99185,13.43580625,2813.625,2.80725,True,-3.1,0.992,0.18896612107787705,0.18896612107787705,False,-0.1021140950943078,-0.2513871941509649,0.2713352350875652,6.375
A1,13.593450994095091,13.436057637194152,,9,13.5937625,13.43580625,2810.625,2.80725,True,-0.1,0.995,0.18896612107787705,0.18896612107787705,False,0.3115059049090263,-0.2513871941509649,0.4002892081686518,3.375
A1,16.194949874095094,13.436057637194152,,10,16.19488125,13.43580625,2805.9375,2.80725,True,4.5,0.997,0.18896612107787705,0.18896612107787705,False,-0.06862409509267309,-0.2513871941509649,0.2605854712189134,-1.3125
A1,18.796448754095096,13.436057637194152,,11,18.79679375,13.43580625,2806.59375,2.80725,True,3.9,0.983,0.18896612107787705,0.18896612107787705,False,0.3449959049035556,-0.2513871941509649,0.4268696472968277,-0.65625
A1,10.991952114095094,16.037556517194155,,12,10.99185,16.03771875,2810.4375,2.80725,True,0.1,0.936,0.0,0.0,False,-0.1021140950943078,0.16223280584526378,0.19169447490565916,3.1875
A1,13.593450994095091,16.037556517194155,,13,13.5937625,16.03771875,2807.5312500000005,2.80725,True,2.9,0.996,-0.18896612107766222,-0.18896612107766222,False,0.3115059049090263,0.16223280584526378,0.35121989135813253,0.28125000000045475
A1,16.194949874095094,16.037556517194155,,14,16.19488125,16.03771875,2802.9375,2.80725,True,7.5,0.997,0.18896612107787705,0.18896612107787705,False,-0.06862409509267309,0.16223280584526378,0.1761497934137741,-4.3125
A1,18.796448754095096,16.037556517194155,,15,18.79679375,16.03771875,2802.9375,2.80725,True,7.6,0.951,0.3779322421557541,0.3779322421557541,False,0.3449959049035556,0.16223280584526378,0.3812370098674186,-4.3125
A6,107.4919521140951,8.233059877194153,,0,107.49200625,8.232775,2830.78125,2.8271249999999997,True,-2.6,0.915,0.0,0.0,False,0.054135904903773735,-0.2848771941525996,0.28997536438119764,3.6562500000004547
